vi1_quantization,vi2_batch_size,vi3_output_length,vi4_context_case,repetition,energy_j,throughput,j_per_token,tpot_ms,completion_tok,kgco2eq
fp16,1,64,A,1,242.06365933333333,53.59935666666667,3.8313010708333333,18.666999999999998,63.06666666666667,1.9768532178888886e-05
fp16,1,64,A,2,237.0082591,53.700966666666666,3.75105892037037,18.636666666666667,63.06666666666667,1.9355674493166665e-05
fp16,1,64,A,3,253.66723123333335,52.941543333333335,4.012795811284722,18.897333333333332,63.06666666666667,2.0716157217388887e-05
fp16,1,64,B,1,269.7214046,50.68255333333333,4.214396946875,19.732000000000003,64.0,2.2027248042333334e-05
fp16,1,64,B,2,275.85077110000003,50.70478333333333,4.3101682984375005,19.726999999999997,64.0,2.2527812973166664e-05
fp16,1,64,B,3,270.6254409333333,49.761936666666664,4.228522514583333,20.099,64.0,2.2101077676222222e-05
fp16,1,64,C,1,386.81627933333334,40.272169999999996,6.057602370104166,24.843,63.86666666666667,3.1589996145555554e-05
fp16,1,64,C,2,383.68773956666666,40.61534666666667,6.006729287361111,24.629,63.86666666666667,3.1334498731277774e-05
fp16,1,64,C,3,382.0210793,40.94625,5.980712273194444,24.423000000000002,63.86666666666667,3.119838814283333e-05
fp16,1,256,A,1,1051.1468142333333,54.478806666666664,4.792726898948795,18.363333333333333,216.3,8.584365649572223e-05
fp16,1,256,A,2,1064.3297078333333,53.66367,4.834755002757216,18.637666666666668,216.3,8.692025947305555e-05
fp16,1,256,A,3,1042.9950945666667,55.621343333333336,4.731712663547956,17.983999999999998,216.3,8.517793272294444e-05
fp16,1,256,B,1,812.6525535666666,53.89655666666667,4.806906532268379,18.56,166.73333333333332,6.636662520794444e-05
fp16,1,256,B,2,807.3205380666666,53.83787666666667,4.787333868214881,18.579333333333334,166.73333333333332,6.593117727544445e-05
fp16,1,256,B,3,809.1277751,53.79852666666667,4.789501508636095,18.595666666666666,166.73333333333332,6.607876829983333e-05
fp16,1,256,C,1,1170.9960843666668,45.73164,5.8012142230455535,21.944333333333336,204.56666666666666,9.563134688994444e-05
fp16,1,256,C,2,1153.8977844666665,48.12175333333333,5.670818829984856,20.861666666666668,204.56666666666666,9.423498573144445e-05
fp16,1,256,C,3,1146.5810810666667,48.827643333333334,5.661115336890907,20.589333333333332,204.56666666666666,9.363745495377777e-05
fp16,1,512,A,1,1352.4659503666667,55.81406666666667,4.8277472407565005,17.919333333333334,273.8,0.00011045138594661111
fp16,1,512,A,2,1344.2140539333334,55.787773333333334,4.782979330582049,17.93,273.8,0.00010977748107122222
fp16,1,512,A,3,1348.3882755999998,55.81257666666667,4.80779223381283,17.921,273.8,0.00011011837584066666
