task_id,task_type,quant,arm,ctx_media,quality_media,n
SONDA_A,SONDA,AWQ,compaction,3284.0,1.0,3
SONDA_A,SONDA,AWQ,naive,3284.0,1.0,3
SONDA_A,SONDA,FP16,compaction,3284.0,1.0,3
SONDA_A,SONDA,FP16,naive,3284.0,1.0,3
SONDA_B,SONDA,AWQ,compaction,4508.0,1.0,3
SONDA_B,SONDA,AWQ,naive,4508.0,1.0,3
SONDA_B,SONDA,FP16,compaction,3551.0,1.0,3
SONDA_B,SONDA,FP16,naive,4597.0,1.0,3
SONDA_C,SONDA,AWQ,compaction,4393.0,0.0,3
SONDA_C,SONDA,AWQ,naive,6007.0,1.0,3
SONDA_C,SONDA,FP16,compaction,4218.0,0.0,3
SONDA_C,SONDA,FP16,naive,6081.0,1.0,3
SONDA_D,SONDA,AWQ,compaction,3797.0,1.0,3
SONDA_D,SONDA,AWQ,naive,4761.0,0.5,3
SONDA_D,SONDA,FP16,compaction,3757.0,1.0,3
SONDA_D,SONDA,FP16,naive,4813.0,1.0,3
SONDA_E,SONDA,AWQ,compaction,3896.0,1.0,3
SONDA_E,SONDA,AWQ,naive,4862.0,1.0,3
SONDA_E,SONDA,FP16,compaction,3856.0,1.0,3
SONDA_E,SONDA,FP16,naive,4915.0,1.0,3
SONDA_F,SONDA,AWQ,compaction,3982.0,1.0,3
SONDA_F,SONDA,AWQ,naive,4948.0,1.0,3
SONDA_F,SONDA,FP16,compaction,3942.0,1.0,3
SONDA_F,SONDA,FP16,naive,5001.0,1.0,3
SONDA_G,SONDA,AWQ,compaction,4078.0,1.0,3
SONDA_G,SONDA,AWQ,naive,5047.0,1.0,3
SONDA_G,SONDA,FP16,compaction,4039.0,1.0,3
SONDA_G,SONDA,FP16,naive,5102.0,1.0,3
SONDA_H,SONDA,AWQ,compaction,4159.0,1.0,3
SONDA_H,SONDA,AWQ,naive,5130.0,1.0,3
SONDA_H,SONDA,FP16,compaction,4120.0,1.0,3
SONDA_H,SONDA,FP16,naive,5184.0,1.0,3
SONDA_I,SONDA,AWQ,compaction,4545.0,1.0,3
SONDA_I,SONDA,AWQ,naive,5517.0,1.0,3
SONDA_I,SONDA,FP16,compaction,4507.0,1.0,3
SONDA_I,SONDA,FP16,naive,5574.0,1.0,3
SONDA_J,SONDA,AWQ,compaction,4342.0,1.0,3
SONDA_J,SONDA,AWQ,naive,5955.0,1.0,3
SONDA_J,SONDA,FP16,compaction,4167.0,1.0,3
SONDA_J,SONDA,FP16,naive,6029.0,1.0,3
T11,RECALL,AWQ,compaction,4253.0,1.0,3
T11,RECALL,AWQ,naive,5870.0,1.0,3
T11,RECALL,FP16,compaction,4080.0,1.0,3
T11,RECALL,FP16,naive,5970.0,1.0,3
T14,RECALL,AWQ,compaction,3673.0,1.0,3
T14,RECALL,AWQ,naive,6282.0,1.0,3
T14,RECALL,FP16,compaction,4505.0,1.0,3
T14,RECALL,FP16,naive,6360.0,1.0,3
T15,SONDA,AWQ,compaction,3793.0,1.0,3
T15,SONDA,AWQ,naive,6380.0,0.5,3
T15,SONDA,FP16,compaction,3687.0,1.0,3
T15,SONDA,FP16,naive,6459.0,0.0,3
T16,RECALL,AWQ,compaction,3944.0,1.0,3
T16,RECALL,AWQ,naive,6452.0,1.0,3
T16,RECALL,FP16,compaction,3897.0,1.0,3
T16,RECALL,FP16,naive,6533.0,1.0,3
