task_id,task_type,quant,arm,ctx_media,quality_media,quality_std,n
FACT_M1,FACT,AWQ,compaction,3847.0,1.0,0.0,3
FACT_M1,FACT,AWQ,naive,4813.0,1.0,0.0,3
FACT_M1,FACT,FP16,compaction,3807.0,1.0,0.0,3
FACT_M1,FACT,FP16,naive,4866.0,1.0,0.0,3
FACT_M2,FACT,AWQ,compaction,3938.0,1.0,0.0,3
FACT_M2,FACT,AWQ,naive,4904.0,1.0,0.0,3
FACT_M2,FACT,FP16,compaction,3898.0,1.0,0.0,3
FACT_M2,FACT,FP16,naive,4957.0,1.0,0.0,3
FACT_M3,FACT,AWQ,compaction,4114.0,1.0,0.0,3
FACT_M3,FACT,AWQ,naive,5085.0,1.0,0.0,3
FACT_M3,FACT,FP16,compaction,4075.0,1.0,0.0,3
FACT_M3,FACT,FP16,naive,5139.0,1.0,0.0,3
FILL_01,FACT,AWQ,naive,3165.0,1.0,0.0,3
FILL_01,FACT,FP16,naive,3165.0,1.0,0.0,3
FILL_02,FACT,AWQ,naive,3265.0,1.0,0.0,3
FILL_02,FACT,FP16,naive,3279.0,1.0,0.0,3
FILL_03,CLASSIFY,AWQ,naive,3419.0,1.0,0.0,3
FILL_03,CLASSIFY,FP16,naive,3428.0,1.0,0.0,3
FILL_04,CONSTRAINT,AWQ,naive,3590.0,1.0,0.0,3
FILL_04,CONSTRAINT,FP16,naive,3599.0,1.0,0.0,3
FILL_05,DRAFT,AWQ,naive,4155.0,1.0,0.0,3
FILL_05,DRAFT,FP16,naive,4151.0,1.0,0.0,3
FILL_06,FACT,AWQ,naive,4314.0,1.0,0.0,3
FILL_06,FACT,FP16,naive,4321.0,1.0,0.0,3
FILL_07,SUMMARIZE,AWQ,naive,4444.0,1.0,0.0,3
FILL_07,SUMMARIZE,FP16,naive,4468.0,1.0,0.0,3
FILL_08,FACT,AWQ,naive,4906.0,1.0,0.0,3
FILL_08,FACT,FP16,naive,4987.0,1.0,0.0,3
FILL_09,CONSTRAINT,AWQ,naive,5155.0,1.0,0.0,3
FILL_09,CONSTRAINT,FP16,naive,5234.0,1.0,0.0,3
FILL_10,DRAFT,AWQ,naive,5357.0,1.0,0.0,3
FILL_10,DRAFT,FP16,naive,5436.0,1.0,0.0,3
FILL_11,FACT,AWQ,naive,5913.0,0.75,0.0,3
FILL_11,FACT,FP16,naive,5992.0,0.75,0.0,3
FILL_12,FACT,AWQ,naive,6090.0,1.0,0.0,3
FILL_12,FACT,FP16,naive,6169.0,1.0,0.0,3
FILL_13,SUMMARIZE,AWQ,naive,6222.0,1.0,0.0,3
FILL_13,SUMMARIZE,FP16,naive,6297.0,1.0,0.0,3
FILL_14,FACT,AWQ,naive,6389.0,0.75,0.0,3
FILL_14,FACT,FP16,naive,6468.0,0.75,0.0,3
FILL_16,FACT,AWQ,naive,6631.0,0.5,0.0,3
FILL_16,FACT,FP16,naive,6710.0,0.5,0.0,3
FILL_M1,FACT,AWQ,naive,4731.0,1.0,0.0,3
FILL_M1,FACT,FP16,naive,4812.0,1.0,0.0,3
FILL_M2,FACT,AWQ,naive,4814.0,1.0,0.0,3
FILL_M2,FACT,FP16,naive,4895.0,1.0,0.0,3
FILL_M3,FACT,AWQ,naive,5050.0,1.0,0.0,3
FILL_M3,FACT,FP16,naive,5129.0,1.0,0.0,3
SONDA_A,SONDA,AWQ,compaction,3284.0,1.0,0.0,6
SONDA_A,SONDA,AWQ,naive,3306.0,1.0,0.0,9
SONDA_A,SONDA,FP16,compaction,3284.0,1.0,0.0,6
SONDA_A,SONDA,FP16,naive,3309.0,1.0,0.0,9
SONDA_B,SONDA,AWQ,compaction,4508.0,1.0,0.0,6
SONDA_B,SONDA,AWQ,naive,4466.6667,1.0,0.0,9
SONDA_B,SONDA,FP16,compaction,3551.0,1.0,0.0,6
SONDA_B,SONDA,FP16,naive,4534.0,1.0,0.0,9
SONDA_C,SONDA,AWQ,compaction,3970.5,0.5,0.5477,6
SONDA_C,SONDA,AWQ,naive,5871.0,0.6667,0.5,9
SONDA_C,SONDA,FP16,compaction,3901.0,0.5,0.5477,6
SONDA_C,SONDA,FP16,naive,5955.6667,1.0,0.0,9
SONDA_D,SONDA,AWQ,compaction,3797.0,1.0,0.0,3
SONDA_D,SONDA,AWQ,naive,4723.5,1.0,0.0,6
SONDA_D,SONDA,FP16,compaction,3757.0,1.0,0.0,3
SONDA_D,SONDA,FP16,naive,4789.5,1.0,0.0,6
SONDA_E,SONDA,AWQ,compaction,3896.0,1.0,0.0,3
SONDA_E,SONDA,AWQ,naive,4820.5,1.0,0.0,6
SONDA_E,SONDA,FP16,compaction,3856.0,1.0,0.0,3
