task_id,task_type,quant,arm,ctx_media,quality_media,n
SONDA_A,SONDA,AWQ,compaction,3284.0,1.0,6
SONDA_A,SONDA,AWQ,naive,3306.0,1.0,9
SONDA_A,SONDA,FP16,compaction,3284.0,1.0,6
SONDA_A,SONDA,FP16,naive,3309.0,1.0,9
SONDA_B,SONDA,AWQ,compaction,4508.0,1.0,6
SONDA_B,SONDA,AWQ,naive,4466.667,1.0,9
SONDA_B,SONDA,FP16,compaction,3551.0,1.0,6
SONDA_B,SONDA,FP16,naive,4534.0,1.0,9
SONDA_C,SONDA,AWQ,compaction,3970.5,0.5,6
SONDA_C,SONDA,AWQ,naive,5871.0,0.667,9
SONDA_C,SONDA,FP16,compaction,3901.0,0.5,6
SONDA_C,SONDA,FP16,naive,5955.667,1.0,9
SONDA_D,SONDA,AWQ,compaction,3797.0,1.0,3
SONDA_D,SONDA,AWQ,naive,4723.5,1.0,6
SONDA_D,SONDA,FP16,compaction,3757.0,1.0,3
SONDA_D,SONDA,FP16,naive,4789.5,1.0,6
SONDA_E,SONDA,AWQ,compaction,3896.0,1.0,3
SONDA_E,SONDA,AWQ,naive,4820.5,1.0,6
SONDA_E,SONDA,FP16,compaction,3856.0,1.0,3
SONDA_E,SONDA,FP16,naive,4887.5,1.0,6
SONDA_F,SONDA,AWQ,compaction,3982.0,1.0,3
SONDA_F,SONDA,AWQ,naive,4900.5,1.0,6
SONDA_F,SONDA,FP16,compaction,3942.0,1.0,3
SONDA_F,SONDA,FP16,naive,4967.5,1.0,6
SONDA_G,SONDA,AWQ,compaction,4078.0,1.0,3
SONDA_G,SONDA,AWQ,naive,5030.0,1.0,6
SONDA_G,SONDA,FP16,compaction,4039.0,1.0,3
SONDA_G,SONDA,FP16,naive,5097.0,1.0,6
SONDA_H,SONDA,AWQ,compaction,4159.0,1.0,3
SONDA_H,SONDA,AWQ,naive,5110.0,1.0,6
SONDA_H,SONDA,FP16,compaction,4120.0,1.0,3
SONDA_H,SONDA,FP16,naive,5176.5,1.0,6
SONDA_I,SONDA,AWQ,compaction,4545.0,1.0,3
SONDA_I,SONDA,AWQ,naive,5407.0,1.0,6
SONDA_I,SONDA,FP16,compaction,4507.0,1.0,3
SONDA_I,SONDA,FP16,naive,5475.0,1.0,6
SONDA_J,SONDA,AWQ,compaction,4342.0,1.0,3
SONDA_J,SONDA,AWQ,naive,5983.0,1.0,6
SONDA_J,SONDA,FP16,compaction,4167.0,1.0,3
SONDA_J,SONDA,FP16,naive,6059.5,1.0,6
T11,RECALL,AWQ,compaction,4417.5,1.0,6
T11,RECALL,AWQ,naive,5663.5,1.0,6
T11,RECALL,FP16,compaction,4295.0,1.0,6
T11,RECALL,FP16,naive,5763.5,1.0,6
T14,RECALL,AWQ,compaction,3772.0,1.0,6
T14,RECALL,AWQ,naive,6047.5,1.0,6
T14,RECALL,FP16,compaction,4208.0,1.0,6
T14,RECALL,FP16,naive,6152.5,1.0,6
T15,SONDA,AWQ,compaction,3892.0,1.0,6
T15,SONDA,AWQ,naive,6281.333,0.167,9
T15,SONDA,FP16,compaction,3869.5,1.0,6
T15,SONDA,FP16,naive,6386.0,0.333,9
T16,RECALL,AWQ,compaction,4059.5,1.0,6
T16,RECALL,AWQ,naive,6222.0,1.0,6
T16,RECALL,FP16,compaction,4051.0,1.0,6
T16,RECALL,FP16,naive,6351.0,1.0,6
