task_id,task_type,quant,arm,ctx_media,quality_media,quality_std,n
FACT_M1,FACT,AWQ,compaction,3847.0,1.0,0.0,3
FACT_M1,FACT,AWQ,naive,4813.0,1.0,0.0,3
FACT_M1,FACT,FP16,compaction,3807.0,1.0,0.0,3
FACT_M1,FACT,FP16,naive,4866.0,1.0,0.0,3
FACT_M2,FACT,AWQ,compaction,3938.0,1.0,0.0,3
FACT_M2,FACT,AWQ,naive,4904.0,1.0,0.0,3
FACT_M2,FACT,FP16,compaction,3898.0,1.0,0.0,3
FACT_M2,FACT,FP16,naive,4957.0,1.0,0.0,3
FACT_M3,FACT,AWQ,compaction,4114.0,1.0,0.0,3
FACT_M3,FACT,AWQ,naive,5085.0,1.0,0.0,3
FACT_M3,FACT,FP16,compaction,4075.0,1.0,0.0,3
FACT_M3,FACT,FP16,naive,5139.0,1.0,0.0,3
SONDA_A,SONDA,AWQ,compaction,3284.0,1.0,0.0,3
SONDA_A,SONDA,AWQ,naive,3284.0,1.0,0.0,3
SONDA_A,SONDA,FP16,compaction,3284.0,1.0,0.0,3
SONDA_A,SONDA,FP16,naive,3284.0,1.0,0.0,3
SONDA_B,SONDA,AWQ,compaction,4508.0,1.0,0.0,3
SONDA_B,SONDA,AWQ,naive,4508.0,1.0,0.0,3
SONDA_B,SONDA,FP16,compaction,3551.0,1.0,0.0,3
SONDA_B,SONDA,FP16,naive,4597.0,1.0,0.0,3
SONDA_C,SONDA,AWQ,compaction,4393.0,0.0,0.0,3
SONDA_C,SONDA,AWQ,naive,6007.0,1.0,0.0,3
SONDA_C,SONDA,FP16,compaction,4218.0,0.0,0.0,3
SONDA_C,SONDA,FP16,naive,6081.0,1.0,0.0,3
SONDA_D,SONDA,AWQ,compaction,3797.0,1.0,0.0,3
SONDA_D,SONDA,AWQ,naive,4761.0,0.5,0.0,3
SONDA_D,SONDA,FP16,compaction,3757.0,1.0,0.0,3
SONDA_D,SONDA,FP16,naive,4813.0,1.0,0.0,3
SONDA_E,SONDA,AWQ,compaction,3896.0,1.0,0.0,3
SONDA_E,SONDA,AWQ,naive,4862.0,1.0,0.0,3
SONDA_E,SONDA,FP16,compaction,3856.0,1.0,0.0,3
SONDA_E,SONDA,FP16,naive,4915.0,1.0,0.0,3
SONDA_F,SONDA,AWQ,compaction,3982.0,1.0,0.0,3
SONDA_F,SONDA,AWQ,naive,4948.0,1.0,0.0,3
SONDA_F,SONDA,FP16,compaction,3942.0,1.0,0.0,3
SONDA_F,SONDA,FP16,naive,5001.0,1.0,0.0,3
SONDA_G,SONDA,AWQ,compaction,4078.0,1.0,0.0,3
SONDA_G,SONDA,AWQ,naive,5047.0,1.0,0.0,3
SONDA_G,SONDA,FP16,compaction,4039.0,1.0,0.0,3
SONDA_G,SONDA,FP16,naive,5102.0,1.0,0.0,3
SONDA_H,SONDA,AWQ,compaction,4159.0,1.0,0.0,3
SONDA_H,SONDA,AWQ,naive,5130.0,1.0,0.0,3
SONDA_H,SONDA,FP16,compaction,4120.0,1.0,0.0,3
SONDA_H,SONDA,FP16,naive,5184.0,1.0,0.0,3
SONDA_I,SONDA,AWQ,compaction,4545.0,1.0,0.0,3
SONDA_I,SONDA,AWQ,naive,5517.0,1.0,0.0,3
SONDA_I,SONDA,FP16,compaction,4507.0,1.0,0.0,3
SONDA_I,SONDA,FP16,naive,5574.0,1.0,0.0,3
SONDA_J,SONDA,AWQ,compaction,4342.0,1.0,0.0,3
SONDA_J,SONDA,AWQ,naive,5955.0,1.0,0.0,3
SONDA_J,SONDA,FP16,compaction,4167.0,1.0,0.0,3
SONDA_J,SONDA,FP16,naive,6029.0,1.0,0.0,3
T01,FACT,AWQ,compaction,3183.0,1.0,0.0,3
T01,FACT,AWQ,naive,3183.0,1.0,0.0,3
T01,FACT,FP16,compaction,3183.0,1.0,0.0,3
T01,FACT,FP16,naive,3183.0,1.0,0.0,3
T02,FACT,AWQ,compaction,3233.0,1.0,0.0,3
T02,FACT,AWQ,naive,3233.0,1.0,0.0,3
T02,FACT,FP16,compaction,3233.0,1.0,0.0,3
T02,FACT,FP16,naive,3233.0,1.0,0.0,3
T03,CLASSIFY,AWQ,compaction,3357.0,1.0,0.0,3
T03,CLASSIFY,AWQ,naive,3357.0,1.0,0.0,3
T03,CLASSIFY,FP16,compaction,3357.0,1.0,0.0,3
T03,CLASSIFY,FP16,naive,3357.0,1.0,0.0,3
T04,CONSTRAINT,AWQ,compaction,3687.0,0.9167,0.0,3
T04,CONSTRAINT,AWQ,naive,3687.0,0.9167,0.0,3
T04,CONSTRAINT,FP16,compaction,3684.0,0.875,0.0,3
T04,CONSTRAINT,FP16,naive,3684.0,0.875,0.0,3
