quant,brazo,rep,intervencion,tipo,trigger_prompt_tokens,siguiente_tarea,siguiente_prompt_tokens
AWQ,descarte,1,1,DESCARTE,4508,T07,4255
AWQ,descarte,1,2,DESCARTE,4501,FACT_M2,3462
AWQ,descarte,1,3,DESCARTE,4538,SONDA_C,3697
AWQ,descarte,2,1,DESCARTE,4508,T07,4255
AWQ,descarte,2,2,DESCARTE,4501,FACT_M2,3462
AWQ,descarte,2,3,DESCARTE,4538,SONDA_C,3697
AWQ,descarte,3,1,DESCARTE,4508,T07,4255
AWQ,descarte,3,2,DESCARTE,4501,FACT_M2,3462
AWQ,descarte,3,3,DESCARTE,4538,SONDA_C,3697
AWQ,resumen,1,1,COMPACTION,4508,T07,3608
AWQ,resumen,1,2,COMPACTION,4545,T10,3692
AWQ,resumen,1,3,COMPACTION,4539,T14,3673
AWQ,resumen,2,1,COMPACTION,4508,T07,3608
AWQ,resumen,2,2,COMPACTION,4545,T10,3692
AWQ,resumen,2,3,COMPACTION,4539,T14,3673
AWQ,resumen,3,1,COMPACTION,4508,T07,3608
AWQ,resumen,3,2,COMPACTION,4545,T10,3692
AWQ,resumen,3,3,COMPACTION,4539,T14,3673
FP16,descarte,1,1,DESCARTE,4524,SONDA_B,4443
FP16,descarte,1,2,DESCARTE,4662,FACT_M1,3515
FP16,descarte,1,3,DESCARTE,4577,SONDA_J,3961
FP16,descarte,2,1,DESCARTE,4524,SONDA_B,4443
FP16,descarte,2,2,DESCARTE,4662,FACT_M1,3515
FP16,descarte,2,3,DESCARTE,4577,SONDA_J,3961
FP16,descarte,3,1,DESCARTE,4524,SONDA_B,4443
FP16,descarte,3,2,DESCARTE,4662,FACT_M1,3515
FP16,descarte,3,3,DESCARTE,4577,SONDA_J,3961
FP16,resumen,1,1,COMPACTION,4524,SONDA_B,3551
FP16,resumen,1,2,COMPACTION,4507,T10,3661
FP16,resumen,1,3,COMPACTION,4505,T15,3687
FP16,resumen,2,1,COMPACTION,4524,SONDA_B,3551
FP16,resumen,2,2,COMPACTION,4507,T10,3661
FP16,resumen,2,3,COMPACTION,4505,T15,3687
FP16,resumen,3,1,COMPACTION,4524,SONDA_B,3551
FP16,resumen,3,2,COMPACTION,4507,T10,3661
FP16,resumen,3,3,COMPACTION,4505,T15,3687
