quant,brazo,rep,tareas,eventos,energia_tareas_j,energia_mecanismo_j,energia_total_j,energia_sobre_reposo_j,tareas_score_programatico_1,puntaje_programatico_medio,tokens_entrada_de_peticiones,tokens_salida_de_peticiones,prompt_min_tareas,prompt_max_tareas,llamadas_terminadas_por_max_tokens,muestras_nvml_llamadas,cobertura_temperatura_pct,cobertura_procesos_pct,temperatura_llamadas_inicio_c,temperatura_llamadas_fin_c,temperatura_llamadas_max_c,gpu_utilizacion_media_pct,graphics_clock_min_mhz,graphics_clock_max_mhz,sm_clock_min_mhz,sm_clock_max_mhz,memory_clock_min_mhz,memory_clock_max_mhz,muestras_clock_event_mask_no_cero,baseline_muestras_nvml,baseline_temperatura_inicio_c,baseline_temperatura_fin_c,baseline_temperatura_media_c,baseline_temperatura_rango_c,baseline_potencia_cv_pct
AWQ,completo,1,29,0,11189.7219,0,11189.7219,10606.923,27,0.9799,144578,1588,3183,6452,0,592,100.0,100.0,33.0,57.0,57.0,46.432,210,2745,210,2745,405,10251,10,300,33.0,33.0,33.117,1.0,66.297
AWQ,completo,2,29,0,11174.4765,0,11174.4765,10593.554,27,0.9799,144578,1588,3183,6452,0,591,100.0,100.0,33.0,46.0,57.0,47.956,210,2745,210,2745,405,10251,6,300,33.0,33.0,33.0,0.0,0.604
AWQ,completo,3,29,0,11149.9175,0,11149.9175,10571.8718,27,0.9799,144578,1588,3183,6452,0,593,100.0,100.0,33.0,43.0,57.0,45.143,210,2745,210,2745,405,10251,10,300,33.0,33.0,33.0,0.0,0.356
AWQ,descarte,1,29,3,9661.5751,0.0,9661.5751,9134.7513,24,0.9416,113380,1515,3183,4538,0,554,100.0,100.0,33.0,46.0,54.0,43.884,210,2745,210,2745,405,10251,8,300,33.0,33.0,33.0,0.0,0.726
AWQ,descarte,2,29,3,9686.849,0.0,9686.849,9146.9236,24,0.9416,113380,1515,3183,4538,0,555,100.0,100.0,33.0,44.0,54.0,46.013,210,2745,210,2745,405,10251,9,300,33.0,33.0,33.0,0.0,0.658
AWQ,descarte,3,29,3,9695.4803,0.0,9695.4803,9162.8381,24,0.9416,113380,1515,3183,4538,0,554,100.0,100.0,33.0,42.0,54.0,40.773,210,2745,210,2745,405,10251,6,300,34.0,33.0,33.437,1.0,0.656
AWQ,resumen,1,29,3,10743.9154,4021.434,14765.3494,14026.2317,27,0.9626,129397,3280,3183,4545,1,752,100.0,100.0,33.0,48.0,56.0,52.363,210,2745,210,2745,405,10251,17,300,33.0,33.0,33.0,0.0,0.75
AWQ,resumen,2,29,3,10728.1736,4014.3042,14742.4778,14003.6101,27,0.9626,129397,3280,3183,4545,1,750,100.0,100.0,33.0,48.0,57.0,53.516,210,2745,210,2745,405,10251,28,300,34.0,33.0,33.68,1.0,0.622
AWQ,resumen,3,29,3,10696.207,4016.0521,14712.2591,13975.0391,27,0.9626,129397,3280,3183,4545,1,750,100.0,100.0,33.0,50.0,56.0,52.005,210,2745,210,2745,405,10251,14,300,33.0,33.0,33.0,0.0,0.647
FP16,completo,1,29,0,15324.9332,0,15324.9332,14578.4837,27,0.9612,146109,1669,3183,6533,0,751,100.0,100.0,33.0,46.0,56.0,57.115,210,2745,210,2745,405,10251,7,300,33.0,33.0,33.0,0.0,0.894
FP16,completo,2,29,0,15372.4233,0,15372.4233,14623.7408,27,0.9612,146109,1669,3183,6533,0,751,100.0,100.0,33.0,47.0,57.0,57.751,210,2745,210,2745,405,10251,10,300,34.0,33.0,33.8,1.0,0.496
FP16,completo,3,29,0,15330.0131,0,15330.0131,14597.6526,27,0.9612,146109,1669,3183,6533,0,752,100.0,100.0,33.0,45.0,57.0,59.515,210,2745,210,2745,405,10251,8,300,33.0,33.0,33.0,0.0,0.841
FP16,descarte,1,29,3,13825.7474,0.0,13825.7474,13119.4799,23,0.9057,114865,1639,3183,4662,0,713,100.0,100.0,33.0,45.0,55.0,55.806,210,2745,210,2745,405,10251,8,300,34.0,33.0,33.643,1.0,0.697
FP16,descarte,2,29,3,13790.2343,0.0,13790.2343,13085.3279,23,0.9057,114865,1639,3183,4662,0,712,100.0,100.0,33.0,44.0,55.0,54.228,210,2745,210,2745,405,10251,8,300,33.0,33.0,33.0,0.0,0.747
FP16,descarte,3,29,3,13804.2551,0.0,13804.2551,13113.7232,23,0.9057,114865,1639,3183,4662,0,712,100.0,100.0,33.0,44.0,55.0,57.556,210,2745,210,2745,405,10251,8,300,33.0,33.0,33.0,0.0,0.794
FP16,resumen,1,29,3,15475.4929,7010.8091,22486.302,21482.675,27,0.9612,127816,3180,3183,4524,0,1038,100.0,100.0,33.0,51.0,57.0,66.98,210,2745,210,2745,405,10251,7,300,33.0,33.0,33.0,0.0,1.003
FP16,resumen,2,29,3,15468.6409,7016.0264,22484.6673,21456.494,27,0.9612,127816,3180,3183,4524,0,1038,100.0,100.0,33.0,46.0,57.0,65.818,210,2745,210,2745,405,10251,10,300,33.0,33.0,33.0,0.0,0.779
FP16,resumen,3,29,3,15496.184,6988.6625,22484.8465,21442.0478,27,0.9612,127816,3180,3183,4524,0,1037,100.0,100.0,33.0,48.0,57.0,66.825,210,2745,210,2745,405,10251,6,300,34.0,33.0,33.403,1.0,0.4
