quant,rep,event,previous_task_id,previous_task_prompt_tokens,compaction_prompt_tokens,handoff_completion_tokens,compaction_energy_j
AWQ,1,COMPACT_1,SONDA_B,4508,4662,400,1229.6872
AWQ,1,COMPACT_2,SONDA_I,4545,4698,448,1343.7698
AWQ,1,COMPACT_3,T13,4539,4758,468,1388.7159
AWQ,2,COMPACT_1,SONDA_B,4508,4662,400,1229.411
AWQ,2,COMPACT_2,SONDA_I,4545,4698,448,1348.4747
AWQ,2,COMPACT_3,T13,4539,4758,468,1390.8947
AWQ,3,COMPACT_1,SONDA_B,4508,4662,400,1231.9515
AWQ,3,COMPACT_2,SONDA_I,4545,4698,448,1342.7921
AWQ,3,COMPACT_3,T13,4539,4758,468,1379.8454
FP16,1,COMPACT_1,T06,4524,4712,349,2031.9211
FP16,1,COMPACT_2,SONDA_I,4507,4661,417,2391.7048
FP16,1,COMPACT_3,T14,4505,4695,443,2522.8563
FP16,2,COMPACT_1,T06,4524,4712,349,2026.8649
FP16,2,COMPACT_2,SONDA_I,4507,4661,417,2386.2958
FP16,2,COMPACT_3,T14,4505,4695,443,2523.4284
FP16,3,COMPACT_1,T06,4524,4712,349,2038.2432
FP16,3,COMPACT_2,SONDA_I,4507,4661,417,2389.685
FP16,3,COMPACT_3,T14,4505,4695,443,2522.8084
