quant,rep,task_index,task_id,naive_cumulative_j,compact_cumulative_j,compact_minus_naive_j
AWQ,1,0,T01,358.5314,361.4068,2.8754
AWQ,1,1,T02,551.4149,553.8869,2.472
AWQ,1,2,SONDA_A,747.0643,749.226,2.1617
AWQ,1,3,T03,1139.7471,1141.8464,2.0993
AWQ,1,4,T04,2271.0901,2273.658,2.5679
AWQ,1,5,T05,3046.2532,3048.8787,2.6255
AWQ,1,6,T06,3320.9036,3324.7669,3.8633
AWQ,1,7,SONDA_B,3579.0527,3582.491,3.4383
AWQ,1,8,T07,4223.5311,5337.3728,1113.8417
AWQ,1,9,SONDA_D,4496.1622,5546.2104,1050.0482
AWQ,1,10,FACT_M1,4755.9065,5764.7716,1008.8651
AWQ,1,11,SONDA_E,5026.6126,5990.515,963.9024
AWQ,1,12,FACT_M2,5297.5509,6220.389,922.8381
AWQ,1,13,SONDA_F,5569.9831,6449.1307,879.1476
AWQ,1,14,T08,5871.454,6704.7973,833.3433
AWQ,1,15,SONDA_G,6139.8349,6926.0913,786.2564
AWQ,1,16,FACT_M3,6442.1858,7174.2828,732.097
AWQ,1,17,SONDA_H,6731.3574,7422.5524,691.195
AWQ,1,18,T09,7387.8569,8029.9236,642.0667
AWQ,1,19,SONDA_I,7680.3826,8274.0209,593.6383
AWQ,1,20,T10,8542.8321,11042.2158,2499.3837
AWQ,1,21,T11,8938.1013,11376.7385,2438.6372
AWQ,1,22,SONDA_J,9263.1812,11619.8134,2356.6322
AWQ,1,23,SONDA_C,9571.4232,11873.4515,2302.0283
AWQ,1,24,T12,9995.9851,12161.8743,2165.8892
AWQ,1,25,T13,10496.8306,12580.807,2083.9764
AWQ,1,26,T14,10865.4579,14270.7737,3405.3158
AWQ,1,27,T15,11277.3423,14750.1502,3472.8079
AWQ,1,28,T16,11611.5823,15053.2355,3441.6532
AWQ,2,0,T01,374.7177,368.8998,-5.8179
AWQ,2,1,T02,563.9506,559.9929,-3.9577
AWQ,2,2,SONDA_A,756.5957,756.7687,0.173
AWQ,2,3,T03,1140.2914,1147.9264,7.635
AWQ,2,4,T04,2265.8121,2262.1872,-3.6249
AWQ,2,5,T05,3040.3978,3044.4477,4.0499
AWQ,2,6,T06,3316.1716,3313.665,-2.5066
AWQ,2,7,SONDA_B,3572.6653,3570.7203,-1.945
AWQ,2,8,T07,4212.9664,5324.3703,1111.4039
AWQ,2,9,SONDA_D,4484.4711,5534.8383,1050.3672
AWQ,2,10,FACT_M1,4743.8838,5758.0704,1014.1866
AWQ,2,11,SONDA_E,5016.3195,5987.0315,970.712
AWQ,2,12,FACT_M2,5282.1549,6221.3859,939.231
AWQ,2,13,SONDA_F,5554.5839,6453.9912,899.4073
AWQ,2,14,T08,5858.0012,6714.2792,856.278
AWQ,2,15,SONDA_G,6119.2779,6937.3106,818.0327
AWQ,2,16,FACT_M3,6420.4832,7193.8378,773.3546
AWQ,2,17,SONDA_H,6713.506,7445.3147,731.8087
AWQ,2,18,T09,7368.4109,8054.7175,686.3066
AWQ,2,19,SONDA_I,7650.0272,8295.7184,645.6912
AWQ,2,20,T10,8512.1181,11047.2743,2535.1562
AWQ,2,21,T11,8899.373,11386.0388,2486.6658
AWQ,2,22,SONDA_J,9194.4105,11627.2514,2432.8409
AWQ,2,23,SONDA_C,9514.2757,11879.5102,2365.2345
AWQ,2,24,T12,9937.3832,12168.4615,2231.0783
AWQ,2,25,T13,10438.1338,12585.2843,2147.1505
AWQ,2,26,T14,10807.6097,14271.8611,3464.2514
AWQ,2,27,T15,11215.9525,14746.3271,3530.3746
AWQ,2,28,T16,11551.1155,15048.4254,3497.3099
AWQ,3,0,T01,375.36,363.3285,-12.0315
AWQ,3,1,T02,565.4744,556.6896,-8.7848
AWQ,3,2,SONDA_A,758.7567,752.3035,-6.4532
AWQ,3,3,T03,1150.4898,1143.8489,-6.6409
AWQ,3,4,T04,2286.4077,2276.7833,-9.6244
AWQ,3,5,T05,3063.6862,3053.8239,-9.8623
AWQ,3,6,T06,3339.4883,3326.8529,-12.6354
AWQ,3,7,SONDA_B,3596.2543,3581.6253,-14.629
AWQ,3,8,T07,4236.0802,5337.8758,1101.7956
AWQ,3,9,SONDA_D,4509.135,5546.7796,1037.6446
AWQ,3,10,FACT_M1,4768.6937,5768.5263,999.8326
AWQ,3,11,SONDA_E,5038.5767,5992.4448,953.8681
AWQ,3,12,FACT_M2,5306.4581,6222.3254,915.8673
AWQ,3,13,SONDA_F,5579.1952,6451.1564,871.9612
AWQ,3,14,T08,5882.1251,6705.2428,823.1177
AWQ,3,15,SONDA_G,6146.2876,6927.0142,780.7266
AWQ,3,16,FACT_M3,6447.9368,7180.5294,732.5926
AWQ,3,17,SONDA_H,6739.1358,7429.1864,690.0506
AWQ,3,18,T09,7400.162,8034.8862,634.7242
AWQ,3,19,SONDA_I,7683.2313,8281.1405,597.9092
AWQ,3,20,T10,8544.5945,11027.7658,2483.1713
AWQ,3,21,T11,8937.3403,11371.5555,2434.2152
AWQ,3,22,SONDA_J,9234.6912,11611.5717,2376.8805
AWQ,3,23,SONDA_C,9552.1425,11863.4907,2311.3482
AWQ,3,24,T12,9972.9481,12153.0784,2180.1303
AWQ,3,25,T13,10484.2168,12592.1486,2107.9318
AWQ,3,26,T14,10843.4875,14274.5907,3431.1032
AWQ,3,27,T15,11252.6546,14754.644,3501.9894
AWQ,3,28,T16,11588.6432,15053.1941,3464.5509
FP16,1,0,T01,376.3572,377.0554,0.6982
FP16,1,1,T02,553.899,555.0075,1.1085
FP16,1,2,SONDA_A,754.1562,755.7522,1.596
FP16,1,3,T03,1294.6086,1301.7238,7.1152
FP16,1,4,T04,3499.0299,3511.7258,12.6959
FP16,1,5,T05,5263.014,5277.2964,14.2824
FP16,1,6,T06,5682.6248,5698.0169,15.3921
FP16,1,7,SONDA_B,5917.8219,7926.1374,2008.3155
FP16,1,8,T07,6770.6668,8680.4201,1909.7533
FP16,1,9,SONDA_D,7064.391,8906.2702,1841.8792
FP16,1,10,FACT_M1,7328.4394,9138.1827,1809.7433
FP16,1,11,SONDA_E,7576.4813,9347.3505,1770.8692
FP16,1,12,FACT_M2,7855.2637,9586.1181,1730.8544
FP16,1,13,SONDA_F,8104.0108,9794.2434,1690.2326
FP16,1,14,T08,8451.2217,10062.6378,1611.4161
FP16,1,15,SONDA_G,8685.4487,10263.5038,1578.0551
FP16,1,16,FACT_M3,8969.059,10498.0266,1528.9676
FP16,1,17,SONDA_H,9249.9672,10735.5705,1485.6033
FP16,1,18,T09,10312.255,11727.429,1415.174
FP16,1,19,SONDA_I,10592.3641,11961.7304,1369.3663
FP16,1,20,T10,12264.2234,16443.7883,4179.5649
FP16,1,21,T11,12638.0385,16860.6086,4222.5701
FP16,1,22,SONDA_J,12945.8196,17088.8004,4142.9808
FP16,1,23,SONDA_C,13236.8673,17322.856,4085.9887
FP16,1,24,T12,13755.4528,17747.19,3991.7372
FP16,1,25,T13,14448.6344,18385.0906,3936.4562
FP16,1,26,T14,14883.5229,18827.0663,3943.5434
FP16,1,27,T15,15349.6671,22384.8448,7035.1777
FP16,1,28,T16,15684.8441,22766.1213,7081.2772
FP16,2,0,T01,368.7926,366.3626,-2.43
FP16,2,1,T02,546.5011,544.7364,-1.7647
FP16,2,2,SONDA_A,747.184,745.3285,-1.8555
FP16,2,3,T03,1288.1418,1286.879,-1.2628
FP16,2,4,T04,3486.9421,3495.4545,8.5124
FP16,2,5,T05,5247.6184,5255.5006,7.8822
FP16,2,6,T06,5673.1879,5671.9601,-1.2278
FP16,2,7,SONDA_B,5913.3189,7893.5356,1980.2167
FP16,2,8,T07,6770.4368,8649.5724,1879.1356
FP16,2,9,SONDA_D,7067.3746,8877.1576,1809.783
