quant,step,task_index,task_id,compact_minus_naive_mean_j,compact_minus_naive_sd_j
AWQ,0,-1,INICIO,0.0,0.0
AWQ,1,0,T01,-4.9913,7.4877
AWQ,2,1,T02,-3.4235,5.6474
AWQ,3,2,SONDA_A,-1.3728,4.5107
AWQ,4,3,T03,1.0311,7.1976
AWQ,5,4,T04,-3.5605,6.0964
AWQ,6,5,T05,-1.0623,7.6542
AWQ,7,6,T06,-3.7596,8.3204
AWQ,8,7,SONDA_B,-4.3786,9.2762
AWQ,9,8,T07,1109.0137,6.3688
AWQ,10,9,SONDA_D,1046.02,7.2551
AWQ,11,10,FACT_M1,1007.6281,7.2565
AWQ,12,11,SONDA_E,962.8275,8.4732
AWQ,13,12,FACT_M2,925.9788,11.9943
AWQ,14,13,SONDA_F,883.5054,14.2325
AWQ,15,14,T08,837.5797,16.9812
AWQ,16,15,SONDA_G,795.0052,20.1331
AWQ,17,16,FACT_M3,746.0147,23.6783
AWQ,18,17,SONDA_H,704.3514,23.7856
AWQ,19,18,T09,654.3658,27.9041
AWQ,20,19,SONDA_I,612.4129,28.8989
AWQ,21,20,T10,2505.9037,26.5987
AWQ,22,21,T11,2453.1727,29.09
AWQ,23,22,SONDA_J,2388.7845,39.4743
AWQ,24,23,SONDA_C,2326.2037,34.1214
AWQ,25,24,T12,2192.3659,34.2737
AWQ,26,25,T13,2113.0196,31.8929
AWQ,27,26,T14,3433.5568,29.5443
AWQ,28,27,T15,3501.724,28.7843
AWQ,29,28,T16,3467.838,27.9736
FP16,0,-1,INICIO,0.0,0.0
FP16,1,0,T01,-1.2095,1.6735
FP16,2,1,T02,-1.1919,2.0742
FP16,3,2,SONDA_A,-1.3266,2.6973
FP16,4,3,T03,1.1831,5.1636
FP16,5,4,T04,10.2309,2.1894
FP16,6,5,T05,15.4004,8.135
FP16,7,6,T06,11.7144,11.5511
FP16,8,7,SONDA_B,2001.2913,18.5862
FP16,9,8,T07,1901.763,19.8758
FP16,10,9,SONDA_D,1834.0405,21.4411
FP16,11,10,FACT_M1,1799.8931,20.2277
FP16,12,11,SONDA_E,1752.8245,17.1904
FP16,13,12,FACT_M2,1715.6454,19.1692
FP16,14,13,SONDA_F,1674.3655,21.0725
FP16,15,14,T08,1597.7563,21.5502
FP16,16,15,SONDA_G,1563.478,21.9592
FP16,17,16,FACT_M3,1516.7431,21.1142
FP16,18,17,SONDA_H,1474.0042,22.2089
FP16,19,18,T09,1404.6167,26.6981
FP16,20,19,SONDA_I,1361.9445,25.2144
FP16,21,20,T10,4172.2275,28.2103
FP16,22,21,T11,4231.7405,27.4741
FP16,23,22,SONDA_J,4146.1032,26.2077
FP16,24,23,SONDA_C,4091.2393,25.2853
FP16,25,24,T12,3992.3,28.002
FP16,26,25,T13,3942.127,27.1003
FP16,27,26,T14,3952.667,28.7825
FP16,28,27,T15,7048.1215,28.6459
FP16,29,28,T16,7091.2981,29.0836
