quant,rep,cycle,handoff_event,trigger_task,handoff_energy_j,recovery_start_task,recovery_end_task,ordinary_savings_in_cycle_j,residual_debt_after_handoff_j,residual_debt_end_cycle_j,amortized_by_cycle_end
AWQ,1,1,COMPACT_1,SONDA_B,1229.6872,T07,SONDA_I,639.4872,1233.1255,593.6383,False
AWQ,1,2,COMPACT_2,SONDA_I,1343.7698,T10,T13,-146.5683,1937.4081,2083.9764,False
AWQ,1,3,COMPACT_3,T13,1388.7159,T14,T16,31.0391,3472.6923,3441.6532,False
AWQ,2,1,COMPACT_1,SONDA_B,1229.411,T07,SONDA_I,581.7748,1227.466,645.6912,False
AWQ,2,2,COMPACT_2,SONDA_I,1348.4747,T10,T13,-152.9846,1994.1659,2147.1505,False
AWQ,2,3,COMPACT_3,T13,1390.8947,T14,T16,40.7353,3538.0452,3497.3099,False
AWQ,3,1,COMPACT_1,SONDA_B,1231.9515,T07,SONDA_I,619.4133,1217.3225,597.9092,False
AWQ,3,2,COMPACT_2,SONDA_I,1342.7921,T10,T13,-167.2305,1940.7013,2107.9318,False
AWQ,3,3,COMPACT_3,T13,1379.8454,T14,T16,23.2263,3487.7772,3464.5509,False
FP16,1,1,COMPACT_1,T06,2031.9211,SONDA_B,SONDA_I,677.9469,2047.3132,1369.3663,False
FP16,1,2,COMPACT_2,SONDA_I,2391.7048,T10,T14,-182.4723,3761.0711,3943.5434,False
FP16,1,3,COMPACT_3,T14,2522.8563,T15,T16,-614.8775,6466.3997,7081.2772,False
FP16,2,1,COMPACT_1,T06,2026.8649,SONDA_B,SONDA_I,691.785,2025.6371,1333.8521,False
FP16,2,2,COMPACT_2,SONDA_I,2386.2958,T10,T14,-209.4042,3720.1479,3929.5521,False
FP16,2,3,COMPACT_3,T14,2523.4284,T15,T16,-615.5695,6452.9805,7068.55,False
FP16,3,1,COMPACT_1,T06,2038.2432,SONDA_B,SONDA_I,676.607,2059.222,1382.615,False
FP16,3,2,COMPACT_2,SONDA_I,2389.685,T10,T14,-212.6055,3772.3,3984.9055,False
FP16,3,3,COMPACT_3,T14,2522.8084,T15,T16,-616.3533,6507.7139,7124.0672,False
