quant,task_index,task_id,naive_context_mean,compact_context_mean,naive_completion_mean,compact_completion_mean,energy_saved_mean_j,stored_quality_change
AWQ,0,T01,3183.0,3183.0,13.0,13.0,4.9913,0.0
AWQ,1,T02,3233.0,3233.0,4.0,4.0,-1.5678,0.0
AWQ,2,SONDA_A,3284.0,3284.0,5.0,5.0,-2.0507,0.0
AWQ,3,T03,3357.0,3357.0,76.0,76.0,-2.404,0.0
AWQ,4,T04,3687.0,3687.0,395.0,395.0,4.5916,0.0
AWQ,5,T05,4182.0,4182.0,230.0,230.0,-2.4982,0.0
AWQ,6,T06,4450.0,4450.0,25.0,25.0,2.6973,0.0
AWQ,7,SONDA_B,4508.0,4508.0,6.0,6.0,0.619,0.0
AWQ,8,T07,4553.0,3608.0,158.0,139.0,116.9576,0.0
AWQ,9,SONDA_D,4761.0,3797.0,11.0,9.0,62.9937,0.0
AWQ,10,FACT_M1,4813.0,3847.0,8.0,8.0,38.3919,0.0
AWQ,11,SONDA_E,4862.0,3896.0,6.0,6.0,44.8006,0.0
AWQ,12,FACT_M2,4904.0,3938.0,7.0,7.0,36.8487,0.0
AWQ,13,SONDA_F,4948.0,3982.0,5.0,4.0,42.4734,0.0
AWQ,14,T08,4988.0,4021.0,15.0,13.0,45.9257,0.0
AWQ,15,SONDA_G,5047.0,4078.0,4.0,2.0,42.5744,0.0
AWQ,16,FACT_M3,5085.0,4114.0,9.0,9.0,48.9905,0.0
AWQ,17,SONDA_H,5130.0,4159.0,8.0,7.0,41.6633,0.0
AWQ,18,T09,5325.0,4353.0,150.0,150.0,49.9856,0.0
AWQ,19,SONDA_I,5517.0,4545.0,6.0,5.0,41.9529,0.0
AWQ,20,T10,5598.0,3692.0,224.0,512.0,-548.4786,0.0
AWQ,21,T11,5870.0,4253.0,42.0,46.0,52.731,0.0
AWQ,22,SONDA_J,5955.0,4342.0,6.0,5.0,64.3882,0.0
AWQ,23,SONDA_C,6007.0,4393.0,5.0,5.0,62.5809,-1.0
AWQ,24,T12,6042.0,4428.0,40.0,18.0,133.8377,0.0
AWQ,25,T13,6175.0,4539.0,71.0,71.0,79.3464,0.0
AWQ,26,T14,6282.0,3673.0,23.0,45.0,65.9481,0.0
AWQ,27,T15,6380.0,3793.0,28.0,107.0,-68.1672,0.5
AWQ,28,T16,6452.0,3944.0,8.0,42.0,33.886,0.0
FP16,0,T01,3183.0,3183.0,13.0,13.0,1.2095,0.0
FP16,1,T02,3233.0,3233.0,4.0,4.0,-0.0175,0.0
FP16,2,SONDA_A,3284.0,3284.0,5.0,5.0,0.1347,0.0
FP16,3,T03,3357.0,3357.0,73.0,73.0,-2.5097,0.0
FP16,4,T04,3684.0,3684.0,398.0,398.0,-9.0478,0.0
FP16,5,T05,4182.0,4182.0,304.0,304.0,-5.1695,0.0
FP16,6,T06,4524.0,4524.0,40.0,40.0,3.686,0.0
FP16,7,SONDA_B,4597.0,3551.0,6.0,6.0,42.7661,0.0
FP16,8,T07,4642.0,3596.0,121.0,111.0,99.5283,0.0
FP16,9,SONDA_D,4813.0,3757.0,12.0,9.0,67.7226,0.0
FP16,10,FACT_M1,4866.0,3807.0,8.0,8.0,34.1473,0.0
FP16,11,SONDA_E,4915.0,3856.0,6.0,6.0,47.0686,0.0
FP16,12,FACT_M2,4957.0,3898.0,7.0,7.0,37.1791,0.0
FP16,13,SONDA_F,5001.0,3942.0,5.0,5.0,41.2799,0.0
FP16,14,T08,5041.0,3982.0,17.0,13.0,76.6093,0.0
FP16,15,SONDA_G,5102.0,4039.0,3.0,2.0,34.2782,0.0
FP16,16,FACT_M3,5139.0,4075.0,9.0,9.0,46.7349,0.0
FP16,17,SONDA_H,5184.0,4120.0,8.0,8.0,42.7389,0.0
FP16,18,T09,5379.0,4315.0,153.0,150.0,69.3874,0.0
FP16,19,SONDA_I,5574.0,4507.0,6.0,6.0,42.6723,0.0
FP16,20,T10,5655.0,3661.0,267.0,371.0,-421.0545,0.0
FP16,21,T11,5970.0,4080.0,16.0,44.0,-59.5131,0.0
FP16,22,SONDA_J,6029.0,4167.0,6.0,5.0,85.6373,0.0
FP16,23,SONDA_C,6081.0,4218.0,5.0,6.0,54.8639,-1.0
FP16,24,T12,6116.0,4254.0,40.0,40.0,98.9393,0.0
FP16,25,T13,6249.0,4387.0,75.0,82.0,50.173,0.0
FP16,26,T14,6360.0,4505.0,24.0,42.0,-10.54,0.0
FP16,27,T15,6459.0,3687.0,30.0,166.0,-572.4235,1.0
FP16,28,T16,6533.0,3897.0,8.0,38.0,-43.1766,0.0
