quant,arm,rep,ordinary_tasks,compactions,ordinary_energy_j,compaction_tax_j,total_energy_j,mean_stored_quality,final_prompt_tokens
AWQ,compaction,1,29,3,11091.0626,3962.1729,15053.2355,0.9626,3944
AWQ,compaction,2,29,3,11079.645,3968.7804,15048.4254,0.9626,3944
AWQ,compaction,3,29,3,11098.6051,3954.589,15053.1941,0.9626,3944
AWQ,naive,1,29,0,11611.5823,0.0,11611.5823,0.9799,6452
AWQ,naive,2,29,0,11551.1155,0.0,11551.1155,0.9799,6452
AWQ,naive,3,29,0,11588.6432,0.0,11588.6432,0.9799,6452
FP16,compaction,1,29,3,15819.6391,6946.4822,22766.1213,0.9612,3897
FP16,compaction,2,29,3,15800.8206,6936.5891,22737.4097,0.9612,3897
FP16,compaction,3,29,3,15834.2871,6950.7366,22785.0237,0.9612,3897
FP16,naive,1,29,0,15684.8441,0.0,15684.8441,0.9612,6533
FP16,naive,2,29,0,15668.8597,0.0,15668.8597,0.9612,6533
FP16,naive,3,29,0,15660.9565,0.0,15660.9565,0.9612,6533
