run_id,config_key,vi1_quantization,vi2_batch_size,vi3_output_length,vi4_context_case,vi4_mean_input_tokens,repetition,batch_index,batch_total,batch_actual_size,status,energy_j,duration_s,avg_power_w,peak_power_w,vram_peak_mb,vram_used_start_mb,prompt_tokens,completion_tokens,throughput_tok_s,j_per_token,tpot_ms,j_per_token_calc,tok_per_j,gco2eq,nvml_sample_count,nvml_available
fp16_b1_o512_caseC_rep2_batch2of30_1780354261,fp16_b1_o512_caseC_rep2,fp16,1,512,C,3790,2,2,30,1,success,864.406639,3.0331,213.85,306.2,23516.3,23516.3,3790,145,47.8059,5.961425,20.92,5.961425096551724,0.1677451253356234,0.07059320885166667,41,True
fp16_b1_o64_caseA_rep3_batch29of30_1780345732,fp16_b1_o64_caseA_rep3,fp16,1,64,A,238,3,29,30,1,success,238.154949,1.2033,109.96,248.43,23516.3,23516.3,238,64,53.1886,3.721171,18.8,3.721171078125,0.2687326056784988,0.019449320834999995,23,True
fp16_b4_o512_caseB_rep3_batch1of8_1780339432,fp16_b4_o512_caseB_rep3,fp16,4,512,B,881,3,1,8,4,success,1803.021815,6.8481,230.21,297.95,23516.3,23516.3,3525,919,134.197,1.961939,7.45,1.9619388628944505,0.5096998784787304,0.14724678155833332,79,True
fp16_b1_o512_caseB_rep2_batch25of30_1780346807,fp16_b1_o512_caseB_rep2,fp16,1,512,B,872,2,25,30,1,success,1237.387404,4.5076,223.64,290.16,23516.3,23516.3,872,241,53.4653,5.134388,18.7,5.134387568464731,0.19476519578342175,0.10105330466,56,True
fp16_b1_o512_caseC_rep1_batch1of30_1780347297,fp16_b1_o512_caseC_rep1,fp16,1,512,C,3793,1,1,30,1,success,2879.14154,9.8666,265.06,315.06,23516.3,23516.3,3793,512,51.8922,5.623323,19.27,5.6233233203125,0.17783078493598478,0.2351298924333333,109,True
fp16_b8_o64_caseA_rep3_batch2of4_1780340741,fp16_b8_o64_caseA_rep3,fp16,8,64,A,234,3,2,4,8,success,267.574167,1.4002,117.99,265.09,23516.3,23516.3,1874,484,345.6701,0.552839,2.89,0.5528391880165289,1.8088442745670588,0.021851890305,24,True
fp16_b1_o64_caseA_rep1_batch16of30_1780351249,fp16_b1_o64_caseA_rep1,fp16,1,64,A,237,1,16,30,1,success,273.596151,1.2361,124.6,277.13,23516.3,23516.3,237,64,51.7742,4.27494,19.31,4.274939859375,0.23392141945739578,0.022343685665000005,23,True
fp16_b4_o64_caseB_rep2_batch6of8_1780358111,fp16_b4_o64_caseB_rep2,fp16,4,64,B,894,2,6,8,4,success,331.459424,1.5844,132.43,277.36,23516.3,23516.3,3578,256,161.5746,1.294763,6.19,1.294763375,0.7723418960626686,0.027069186293333335,26,True
fp16_b1_o64_caseA_rep3_batch25of30_1780345703,fp16_b1_o64_caseA_rep3,fp16,1,64,A,233,3,25,30,1,success,262.819875,1.1992,125.97,243.57,23516.3,23516.3,233,64,53.3679,4.106561,18.74,4.106560546875,0.24351278608590768,0.021463623125,22,True
fp16_b4_o256_caseB_rep2_batch1of8_1780344770,fp16_b4_o256_caseB_rep2,fp16,4,256,B,881,2,1,8,4,success,1288.425776,5.1421,209.99,273.89,23516.3,23516.3,3525,821,159.6611,1.569337,6.26,1.569337120584653,0.6372117162611003,0.10522143837333332,62,True
fp16_b1_o512_caseC_rep2_batch21of30_1780354490,fp16_b1_o512_caseC_rep2,fp16,1,512,C,3790,2,21,30,1,success,2849.87053,9.7184,264.98,309.3,23516.3,23516.3,3790,512,52.6836,5.566153,18.98,5.56615337890625,0.17965728429073582,0.23273942661666666,108,True
fp16_b4_o256_caseA_rep3_batch6of8_1780346400,fp16_b4_o256_caseA_rep3,fp16,4,256,A,233,3,6,8,4,success,1178.795748,4.8812,201.51,260.51,23516.3,23516.3,934,827,169.4264,1.425388,5.9,1.4253878452237,0.7015634399794255,0.09626831942,59,True
fp16_b1_o64_caseA_rep2_batch18of30_1780341631,fp16_b1_o64_caseA_rep2,fp16,1,64,A,235,2,18,30,1,success,201.464156,1.1905,98.05,237.86,23516.3,23516.3,235,64,53.7597,3.147877,18.6,3.1478774375,0.31767437578325347,0.016452906073333332,22,True
fp16_b8_o256_caseB_rep2_batch2of4_1780350099,fp16_b8_o256_caseB_rep2,fp16,8,256,B,888,2,2,4,8,success,1171.65108,4.3614,219.14,335.57,23516.3,23516.3,7105,1155,264.8244,1.014417,3.78,1.0144165194805195,0.9857883628631144,0.0956848382,54,True
fp16_b4_o512_caseB_rep2_batch4of8_1780337034,fp16_b4_o512_caseB_rep2,fp16,4,512,B,892,2,4,8,4,success,833.535473,3.4589,187.7,268.5,23100.3,23100.3,3570,483,139.6396,1.725746,7.16,1.7257463209109731,0.5794594419138775,0.06807206362833333,45,True
fp16_b1_o256_caseB_rep1_batch2of30_1780337756,fp16_b1_o256_caseB_rep1,fp16,1,256,B,878,1,2,30,1,success,1167.994895,4.227,222.93,296.29,23516.3,23516.3,878,231,54.6481,5.056255,18.3,5.056254956709957,0.19777483702101284,0.09538624975833333,53,True
fp16_b1_o512_caseB_rep3_batch25of30_1780340351,fp16_b1_o512_caseB_rep3,fp16,1,512,B,872,3,25,30,1,success,1193.580334,4.3853,223.45,296.31,23516.3,23516.3,872,241,54.9566,4.952615,18.2,4.952615493775934,0.20191351443630606,0.09747572727666666,54,True
fp16_b1_o256_caseB_rep3_batch3of30_1780358849,fp16_b1_o256_caseB_rep3,fp16,1,256,B,877,3,3,30,1,success,598.311625,2.3876,180.9,294.0,23516.3,23516.3,877,127,53.1924,4.711115,18.8,4.711115157480315,0.2122639686300596,0.04886211604166667,34,True
fp16_b1_o64_caseB_rep2_batch8of30_1780355903,fp16_b1_o64_caseB_rep2,fp16,1,64,B,886,2,8,30,1,success,294.10375,1.2603,133.47,290.62,23516.3,23516.3,886,64,50.7816,4.595371,19.69,4.59537109375,0.21761028208582855,0.024018472916666662,23,True
fp16_b8_o256_caseC_rep2_batch2of4_1780339935,fp16_b8_o256_caseC_rep2,fp16,8,256,C,3793,2,2,4,8,success,2722.335918,8.5758,284.99,421.81,23516.3,23516.3,30347,1692,197.3,1.608946,5.07,1.6089455780141846,0.6215250619192689,0.22232409997,96,True
fp16_b1_o64_caseC_rep1_batch15of30_1780348251,fp16_b1_o64_caseC_rep1,fp16,1,64,C,3795,1,15,30,1,success,405.219155,1.5839,162.41,293.27,23516.3,23516.3,3795,64,40.4074,6.331549,24.75,6.331549296875,0.15793922673768962,0.033092897658333335,26,True
fp16_b4_o512_caseA_rep2_batch4of8_1780344369,fp16_b4_o512_caseA_rep2,fp16,4,512,A,234,2,4,8,4,success,2389.677571,9.442,228.68,271.41,23516.3,23516.3,937,1725,182.6947,1.38532,5.47,1.3853203310144928,0.7218547058121089,0.19515700163166666,105,True
fp16_b1_o64_caseB_rep3_batch14of30_1780347891,fp16_b1_o64_caseB_rep3,fp16,1,64,B,897,3,14,30,1,success,264.124389,1.2743,121.01,261.36,23516.3,23516.3,897,64,50.2244,4.126944,19.91,4.126943578125,0.2423100730769698,0.021570158435,23,True
fp16_b1_o512_caseA_rep2_batch12of30_1780343293,fp16_b1_o512_caseA_rep2,fp16,1,512,A,234,2,12,30,1,success,1819.321339,6.4463,244.32,295.92,23516.3,23516.3,234,362,56.156,5.02575,17.81,5.025749555248619,0.19897529493001784,0.14857790935166668,75,True
fp16_b1_o64_caseB_rep1_batch23of30_1780358626,fp16_b1_o64_caseB_rep1,fp16,1,64,B,887,1,23,30,1,success,279.110027,1.2574,127.24,286.13,23516.3,23516.3,887,64,50.8982,4.361094,19.65,4.361094171875,0.22930025369529272,0.022793985538333332,23,True
