vi1_quantization,vi2_batch_size,vi3_output_length,vi4_context_case,energy_j_mean,energy_j_std,throughput_mean,throughput_std,j_per_token_mean,j_per_token_std,tpot_ms_mean,tpot_ms_std,avg_power_mean,peak_power_mean,vram_peak_mean,tok_per_j_mean,gco2eq_mean,n_reps,cv_throughput,cv_j_per_token
fp16,1,64,A,244.2464,8.5413,53.414,0.4123,3.8651,0.1341,18.7337,0.1425,116.7578,262.3449,23516.3,0.2605,0.0199,3,0.77,3.47
fp16,1,64,B,272.0659,3.3088,50.3831,0.5381,4.251,0.0517,19.8527,0.2133,124.6103,275.4363,23516.3,0.2361,0.0222,3,1.07,1.22
fp16,1,64,C,384.175,2.4345,40.6113,0.3371,6.015,0.0391,24.6317,0.21,153.4641,309.533,23520.6256,0.1667,0.0314,3,0.83,0.65
fp16,1,256,A,1052.8239,10.7657,54.5879,0.9834,4.7864,0.0518,18.3283,0.3282,206.3072,285.4201,23516.3,0.2102,0.086,3,1.8,1.08
fp16,1,256,B,809.7003,2.7117,53.8443,0.0493,4.7946,0.0107,18.5783,0.0179,193.4749,294.4309,23516.3,0.209,0.0661,3,0.09,0.22
fp16,1,256,C,1157.1583,12.5298,47.5603,1.6226,5.711,0.0782,21.1318,0.7167,216.5031,306.4096,23386.2844,0.1754,0.0945,3,3.41,1.37
fp16,1,512,A,1348.3561,4.126,55.8048,0.0148,4.8062,0.0224,17.9234,0.0057,217.0239,289.597,23516.3,0.2094,0.1101,3,0.03,0.47
fp16,1,512,B,931.4107,7.7961,53.5403,0.6184,4.8548,0.0453,18.6889,0.2197,196.725,293.666,23516.3,0.2065,0.0761,3,1.16,0.93
fp16,1,512,C,1776.7684,9.3316,49.4793,0.6009,5.645,0.0357,20.3292,0.255,231.6533,309.5953,23520.6256,0.1774,0.1451,3,1.21,0.63
fp16,4,64,A,261.6629,4.7107,196.5739,0.6407,1.0397,0.0187,5.0957,0.0171,119.7362,249.0776,23516.3,0.9658,0.0214,3,0.33,1.79
fp16,4,64,B,351.3174,4.5773,162.4426,0.8795,1.3723,0.0179,6.1562,0.033,140.409,275.2771,23516.3,0.7301,0.0287,3,0.54,1.3
fp16,4,64,C,853.5738,4.5859,91.4193,0.1181,3.3343,0.0179,10.9395,0.0143,226.5476,411.3495,23516.3,0.3002,0.0697,3,0.13,0.54
fp16,4,256,A,1179.3881,4.2653,182.5172,2.0558,1.3555,0.006,5.551,0.0635,203.4929,260.9295,23516.3,0.7453,0.0963,3,1.13,0.45
fp16,4,256,B,1032.2507,0.5344,157.1118,0.4042,1.5979,0.0042,6.4471,0.0174,199.1043,276.4862,23516.3,0.6343,0.0843,3,0.26,0.26
fp16,4,256,C,1862.3849,11.9264,129.4848,1.0651,2.2327,0.0127,7.8229,0.0598,247.8481,413.5495,23516.3,0.4539,0.1521,3,0.82,0.57
fp16,4,512,A,1868.3985,12.6312,152.8317,1.5037,1.7155,0.0117,6.7105,0.0738,223.5429,279.8857,23516.3,0.6019,0.1526,3,0.98,0.68
fp16,4,512,B,1507.7071,16.8652,135.4113,4.9395,1.9095,0.0216,7.5462,0.2835,210.3481,282.0657,23377.6333,0.5405,0.1231,3,3.65,1.13
fp16,4,512,C,3032.1347,28.8882,121.9979,2.6704,2.3569,0.0226,8.4095,0.1843,255.4057,416.4724,23516.3,0.4369,0.2476,3,2.19,0.96
fp16,8,64,A,306.3226,19.4041,356.2178,5.0478,0.6096,0.0384,2.81,0.0416,130.51,266.8822,23516.3,1.6557,0.025,3,1.42,6.3
fp16,8,64,B,516.1716,8.2002,262.5738,9.8088,1.0081,0.016,3.8122,0.1455,175.1822,329.8678,23247.1889,0.9933,0.0422,3,3.74,1.59
fp16,8,64,C,1547.2354,9.413,113.9697,1.1519,3.0219,0.0184,8.7756,0.0851,281.4133,420.2922,23559.5556,0.3309,0.1264,3,1.01,0.61
fp16,8,256,A,1263.1145,10.4861,353.5961,0.2253,0.7222,0.006,2.8289,0.0019,212.7733,271.5722,23516.3,1.3853,0.1032,3,0.06,0.83
fp16,8,256,B,1374.1918,4.1212,243.9498,1.0979,1.1061,0.0034,4.1356,0.0184,224.1967,337.9433,23516.3,0.9121,0.1122,3,0.45,0.3
fp16,8,256,C,2729.9363,16.6455,195.7123,3.8163,1.6098,0.0102,5.1344,0.101,281.3922,422.3022,23516.3,0.6242,0.2229,3,1.95,0.63
